YearStart,LocationAbbr,LocationDesc,p_adj_pct,lcl95_pct,ucl95_pct,n_age_groups
2011,GA,Georgia,31.242414174972318,29.79780320061518,32.68702514932945,5
2011,GA,Georgia,32.875636766334445,31.403645480165626,34.34762805250326,5
2011,GA,Georgia,24.707198228128462,23.4348244533844,25.979572002872526,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,GU,Guam,31.7,30.442650320132813,32.957349679867185,5
2011,HI,Hawaii,32.788372093023256,31.24238021849788,34.33436396754863,5
